CIIU ID S,CIIU ID D,CIIU ID CL,CIIU label CL
15,84,8411,Actividades legislativas de la administración pública
15,84,8412,Actividades ejecutivas de la administración pública
15,84,8413,"Regulación de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social "
15,84,8414,Actividades reguladoras y facilitadoras de la actividad económica
15,84,8415,Actividades de los otros órganos de control
15,84,8421,Relaciones exteriores 
15,84,8422,Actividades de defensa
15,84,8423,Orden público y actividades de seguridad
15,84,8424,Administración de justicia
15,84,8430,Actividades de planes de seguridad social de afiliación obligatoria
16,85,8511,Educación de la primera infancia
16,85,8512,Educación preescolar
16,85,8513,Educación básica primaria
16,85,8521,Educación básica secundaria 
16,85,8522,Educación media académica
16,85,8523,Educación media técnica y de formación laboral
16,85,8530,Establecimientos que combinan diferentes niveles de educación 
16,85,8541,Educación técnica profesional
16,85,8542,Educación tecnológica
16,85,8543,Educación de instituciones universitarias o de escuelas tecnológicas
16,85,8544,Educación de universidades
16,85,8551,Formación académica no formal 
16,85,8552,Enseñanza deportiva y recreativa
16,85,8553,Enseñanza cultural
16,85,8559,Otros tipos de educación n.c.p.
16,85,8560,Actividades de apoyo a la educación
17,86,8610,"Actividades de hospitales y clínicas, con internación"
17,86,8621,"Actividades de la práctica médica, sin internación"
17,86,8622,Actividades de la práctica odontológica
17,86,8691,Actividades de apoyo diagnóstico
17,86,8692,Actividades de apoyo terapéutico
17,86,8699,Otras actividades de atención de la salud humana
17,87,8710,Actividades de atención residencial medicalizada de tipo general
17,87,8720,"Actividades de atención residencial, para el cuidado de pacientes con retardo mental, enfermedad mental y consumo de sustancias psicoactivas"
17,87,8730,Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas
17,87,8790,Otras actividades de atención en instituciones con alojamiento
17,88,8810,Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas
17,88,8890,Otras actividades de asistencia social sin alojamiento
18,90,9001,Creación literaria
18,90,9002,Creación musical
18,90,9003,Creación teatral
18,90,9004,Creación audiovisual
18,90,9005,Artes plásticas y visuales
18,90,9006,Actividades teatrales
18,90,9007,Actividades de espectáculos musicales en vivo
18,90,9008,Otras actividades de espectáculos en vivo
18,91,9101,Actividades de bibliotecas y archivos
18,91,9102,"Actividades y funcionamiento de museos, conservación de edificios y sitios históricos"
18,91,9103,"Actividades de jardines botánicos, zoológicos y reservas naturales"
18,92,9200,Actividades de juegos de azar y apuestas
18,93,9311,Gestión de instalaciones deportivas
18,93,9312,Actividades de clubes deportivos
18,93,9319,Otras actividades deportivas
18,93,9321,Actividades de parques de atracciones y parques temáticos
18,93,9329,Otras actividades recreativas y de esparcimiento n.c.p.
19,94,9411,Actividades de asociaciones empresariales y de empleadores
19,94,9412,Actividades de asociaciones profesionales
19,94,9420,Actividades de sindicatos de empleados
19,94,9491,Actividades de asociaciones religiosas
19,94,9492,Actividades de asociaciones políticas
19,94,9499,Actividades de otras asociaciones n.c.p.
