1,custom_id3,CLAE 3,Descripción CLAE 3,CLAE ID 2,Ramas,Descripción,letra,clanae,sector,dpe,dígitos,sector.1,CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
116.0,21.0,21.0,Silvicultura,2.0,201.0,Silvicultura,A,,,020.1,4,Silvicultura.,210.0,Silvicultura y otras actividades forestales,2.0,1.0,0.0
117.0,21.0,21.0,Silvicultura,2.0,201.0,Silvicultura,A,,,020.11,5,Plantación de bosques.,,,,,
118.0,21.0,21.0,Silvicultura,2.0,201.0,Silvicultura,A,,,020.12,5,repoblación y conservación de bosques nativos y zonas forestadas.,,,,,
119.0,21.0,21.0,Silvicultura,2.0,201.0,Silvicultura,A,,,020.13,5,Explotación de viveros forestales.,,,,,
120.0,22.0,22.0,Extracción De Productos Forestales,2.0,202.0,Extracción de productos forestales,A,,,020.2,4,Extracción de productos forestales.,220.0,Extraccion de madera ,2.0,1.0,0.0
121.0,22.0,22.0,Extracción De Productos Forestales,2.0,202.0,Extracción de productos forestales,A,,,020.21,5,Extracción de productos forestales de bosques cultivados.,,,,,
122.0,22.0,22.0,Extracción De Productos Forestales,2.0,202.0,Extracción de productos forestales,A,,,020.22,5,Extracción de productos forestales de bosques nativos.,,,,,
123.0,24.0,24.0,Servicios De Apoyo A La Silvicultura,2.0,203.0,Servicios forestales,A,,,020.3,4,Servicios forestales.,240.0,Servicios de apoyo a la silvicultura ,2.0,1.0,0.0
124.0,24.0,24.0,Servicios De Apoyo A La Silvicultura,2.0,203.0,Servicios forestales,A,,,020.31,5,Servicios forestales de extracción de madera.,,,,,
125.0,24.0,24.0,Servicios De Apoyo A La Silvicultura,2.0,203.0,Servicios forestales,A,,,020.39,5,Servicios forestales excepto los relacionados con la extracción de madera.,230.0,Recoleccion de productos forestales diferentes a la madera,2.0,1.0,0.0
126.0,,,,,,,B,B,B,B,Letra,PESCA Y SERVICIOS CONEXOS,,,,,
127.0,,,,5.0,,,B,5,5,5,2,"Pesca, Explotación de Criaderos de Peces, Granjas Piscícolas y Servicios Conexos",,,,,
128.0,31.0,31.0,Pesca Y Servicios De Apoyo,5.0,,,B,50,50,50,3,Pesca y servicios conexos.,,,,,
129.0,31.0,31.0,Pesca Y Servicios De Apoyo,5.0,501.0,Pesca y recolección de productos marinos,B,501,050.1,050.1,4,Pesca y recolección de productos marinos.,,,,,
130.0,31.0,31.0,Pesca Y Servicios De Apoyo,5.0,501.0,Pesca y recolección de productos marinos,B,5011,050.11,050.11,5,Pesca marítima: costera y de altura.,311.0,Pesca maritima ,3.0,1.0,0.0
