Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity,Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity
2016,0,2ma0302,23107638.000,,94733640.000,,4,2.986,7,6.044,,,,,,2016,0,2ma0302,23107638.000,,94733640.000,,4,2.986,7,6.044,,,,,
2016,0,2ma0401,39564688.000,2895212.000,102947412.000,8154111.000,5,2.686,17,5.315,,,,,,2016,0,2ma0401,39564688.000,2895212.000,102947412.000,8154111.000,5,2.686,17,5.315,,,,,
2016,0,2ma0402,18628044.000,,51949659.000,,3,1.729,5,2.216,,,,,,2016,0,2ma0402,18628044.000,,51949659.000,,3,1.729,5,2.216,,,,,
2016,0,2pb0001,16376348.000,8380741.000,2836341.000,18619661.000,11,1.306,49,15.423,,,,,,2016,0,2pb0001,16376348.000,8380741.000,2836341.000,18619661.000,11,1.306,49,15.423,,,,,
2016,0,2pb0003,111408.000,,526920.000,,1,1.000,1,1.000,,,,,,2016,0,2pb0003,111408.000,,526920.000,,1,1.000,1,1.000,,,,,
2016,0,2pb0004,,899216.000,,4409569.000,0,,0,,,,,,,2016,0,2pb0004,,899216.000,,4409569.000,0,,0,,,,,,
2016,0,2pb0005,,1481063.000,,9009637.000,0,,0,,,,,,,2016,0,2pb0005,,1481063.000,,9009637.000,0,,0,,,,,,
2016,0,2pb0102,105640.000,,400000.000,,1,1.000,2,1.975,,,,,,2016,0,2pb0102,105640.000,,400000.000,,1,1.000,2,1.975,,,,,
2016,0,2pb0103,664584.000,,1846165.000,,4,3.402,5,3.893,,,,,,2016,0,2pb0103,664584.000,,1846165.000,,4,3.402,5,3.893,,,,,
2016,0,2pb0200,11241582.000,55841495.000,19404969.000,132085407.000,53,8.747,28,8.382,,,,,,2016,0,2pb0200,11241582.000,55841495.000,19404969.000,132085407.000,53,8.747,28,8.382,,,,,
2016,0,2pb0201,2022964.000,493044.000,3898793.000,341753.000,5,3.334,9,5.796,,,,,,2016,0,2pb0201,2022964.000,493044.000,3898793.000,341753.000,5,3.334,9,5.796,,,,,
2016,0,2pb0202,3707507.000,1050535.000,6403732.000,657097.000,1,1.000,2,1.641,,,,,,2016,0,2pb0202,3707507.000,1050535.000,6403732.000,657097.000,1,1.000,2,1.641,,,,,
2016,0,2pb0300,,341579.000,,523161.000,0,,0,,,,,,,2016,0,2pb0300,,341579.000,,523161.000,0,,0,,,,,,
2016,0,2pb0301,6042.000,1184558.000,876.000,515469.000,2,1.367,1,1.000,,,,,,2016,0,2pb0301,6042.000,1184558.000,876.000,515469.000,2,1.367,1,1.000,,,,,
2016,0,2pe0000,1037.000,2654784.000,59.000,969510.000,4,2.714,1,1.000,,,,,,2016,0,2pe0000,1037.000,2654784.000,59.000,969510.000,4,2.714,1,1.000,,,,,
